en,ru
Badil Resource Center for Palestinian Residency and Refugee Rights,Организация Объединенных Наций
He talked to you about this?,Вы с ним говорили об этом?
KillerBambi wrote:,Alphawolf wrote:
"Well, that's a...","Так, ну..."
Narrator: Andrew and Stu have a tradition.,У Эндрю и Стю была традиция.
"Beach, this is an emergency.","Бич, я объявляю чрезвычайное положение."
Mary.,Мария.
Stop this car!,"Остановите машину! - Извини, пап!"
I cannot say.,Я не могу сказать.
I'm lucky they let me out for this.,"Мне повезло ещё, что меня сюда отпустили."
I was hoping you'd be able to tell me.,"Я надеялся, что вы мне расскажете."
http://www.ramas-indekss.lv,http://www.ciekurs.lv
- What time is it?,Который час?
"his mother and his father,","свою мать и своего отца,"
I don't want anyone else to die.,Я не хочу чтобы еще кто-то умер.
# 'Cause there's a million things to do #,♪ Ведь мириады возможностей есть ♪
"The badge,the gun,gets a lady's motor running.",Значок и пушка заводят дамочек.
Are you kidding?,Ты шутишь?
Good morning!,Доброе утро!
Are you guys snuggling?,"Вы там что, уютно устроились?"
Are you up to driving?,Умеешь водить машину?
But she wasn't there.,Но её дома не было.
"Pharaoh said: ""And who is this Lord of the Universe?""",Фараон сказал: «А что такое Господь миров?».
(KEVIN SQUAWKING),Хочешь?
Take all the time you need.,"Оставайтесь столько, сколько нужно"
And some fucking crackers.,И немного долбанных крекеров [тон клавиатуры]
She should've known better.,Ей стоило быть умнее.
"Joined: 10 Nov 2005, 03:00","Joined: 07 Jul 2007, 00:32"
"- Alicia. Wait, not yet.",Подожди немного.
The time now is 04:27 PM .,The time now is 04:33 PM .
Uh-oh!,.
Hit.,Попала.
Hi.,- Привет.
It serious?,Это серьезно?
Fresh air.,Пошли.
- One billionth of a second.,- Одна миллиардная секунды.
Hey.,Хей.
"Oh, I think I get it.",Кажется я понял.
♪ around me again ♪,♪ вокруг меня ♪
He killed my mother.,Он убил мою мать.
"- Oh, that's great.","-О, это здорово."
Tell me what happened to Mary.,"Расскажи, что было с Мэри."
Hang on.,Секунду.
Now leave me alone.,Теперь оставь меня в покое.
"Oh, come on, man!","Да, ладно, чувак!"
"Sweetheart, I gotta get down to the coast.","Дoрoгая, мне надo съездить к пoбережью."
The fields look like rose gardens.,А еще эти виноградники похожи на розарий.
Sixth Committee,Шестой комитет
11:54,18:46
Sorry.,Извини.
A lot of people were killed.,Погибло много людей.
16:03,10:04
Kai?,Кай?
- Something came up?,- У тебя дело?
"No, that's not true.","Нет, это неправда!"
"Uh... yeah, why don't you tell them about it?","Да, не хочешь рассказать им о нем?"
Do you need help?,Вам нужна помощь?
(Signed) Mohammed A. Al-Douri Ambassador Permanent Representative,ад-Дури Посол Постоянный представитель
"Yeah, yeah.",- Да. Да.
I don't remember anything but last couple of days.,"Я не помню ничего, кроме последних нескольких дней."
Now the cops are coming?,"Что, и правда пришли копы?"
"Oh, I'd say.","О, я подскажу."
- Come on.,- Вставай.
"In English, please.","- По-английски, пожалуйста."
- What the fuck is his problem?,"- В чем, блядь, его проблема?"
-People can see.,Люди все видят.
We are still at an incipient stage in this dialogue.,Пока мы по-прежнему находимся на начальном этапе этого диалога.
"Location: I don't know, where am I?","Location: somewhere, anywhere, nowhere"
See A/ES-10/273 and Corr.1.,См. A/ES-10/273 и Corr.1.
Come here.,Иди сюда.
- Why didn't you?,- А ты что?
Say what?,Че?
Where's my book? !,Где моя книга?
I understand.,Я
- Well done.,- Отлично.
I want you to leave.,Ты повеселился.
And then I did.,Что я и сделал.
You offered to teach me and I accepted.,"Ты предложила давать мне уроки, и я согласилась."
I'm sorry.,"- Да, простите."
Before?,Раньше?
You're passionate.,"""ы пылка€."
No.,Ничего.
See?,Видите?
All right.,Все хорошо.
We're not satisfied!,Протестуем! Протестуем!
Don't puss out.,Не дрейфь.
Who are you?,А вы?
They've been at it for hours.,Они занимаются этим не первый час.
Small?,- Маленькая?
You're limping.,Ты хромаешь.
- Or a chair.,Или кресло.
They waited for you to leave.,"Поджидали, когда ты уйдешь."
"A.B., you underestimate the powers of a Johns Hopkins education.","ЭйБи, ты недооцениваешь возможности университетского образования."
Thank you for having us.,что выбрали нас.
5!,5!
I'm coming.,Я иду.
- You hungry?,- Голодный?
Give me the two hours.,Дайте мне два часа.
Ooh...,Коробка с лягушками.
I can get behind that.,Отлично. Это мне нравится.
"I'm sorry, are you not letting me?","Прости, ты мне запрещаешь?"
Because you're gonna make a great queen one day.,Потому что когда-нибудь ты станешь великой королевой.
And they obviously don't want us to know.,"И они, совершенно точно, не хотели, чтобы мы узнали."
We'll see.,Посмотрим.
Mike!,Майк!
The book is about four best friends.,Книга о четырех лучших друзей.
Hey.,Привет.
So she grabbed a scalpel,Так что она схватила скальпель
What do you think?,Что скажете?
Isn't that annoying?,Это ведь раздражает?
"Well, yeah, but it's complicated.","- Да, но не все так просто."
How cool is that! Oh!,Здорово.
Specific human rights issues:,Конкретные проблемы прав человека:
I'm okay.,"Не, не надо."
Are you kidding?,Ты шутишь.
No! Jesus!,Боже нет!
"Wait, what?","Погоди-ка, что?"
"Sorry, miss.","Простите, мисс."
I can't do this!,- Я не могу этого сделать!
I will require her services elsewhere.,Мне понадобятся её услуги.
"There is no more pain, Ivar.","Никакой больше боли, Ивар."
Who you talking to?,С кем это ты разговаривал?
- What are you talking about?,О чём ты вообще?
I went to see this really wonderful exhibit.,Я ездила на поистине замечательную выставку.
"- No, come on.","-Нет, заряжайте, попробуем снова!"
She lost most of her hearing as a child.,Она почти полностью потеряла слух в детстве.
Is everything OK?,Все в порядке?
"Hey, Herb!",Привет Херб.
That's a S.E.A.L.,Морские котики.
"Thanks, Norris.","Спасибо, Норрис."
Is it German?,Это по-немецки?
Is she okay?,C нeй вce xopoшo?
Stay.,Стой тут.
Great.,Здорово!
Hey!,Привет!
You're the only one I can trust.,Доверится я могу лишь вам.
- Thank you!,Ты слушаешь.
This isn't your job.,Кто тебя сюда прислал?
2:35,3:10
The inspector wants you both up at Eagle's Edge.,"- Инспектор хочет, чтобы вы оба поехали в ""Орлиный утёс""."
"Troy, I don't think this is a good idea, man.","Трой, я не думаю, что это хорошая идея."
I treat them like trucks...,Я отношусь к ним как к транспорту..
What do you want?,Чего вы хотите?
What did she say?,Что она сказала?
Are we?,Верно? Верно?
-No problem.,- Ничего страшного.
Now is not time to waste.,Времени нет.
We have La Cebra's fingerprint.,У нас есть отпечаток Ла Зебры.
- What am I?,- Кто?
"Yeah, I'll keep that in mind.","Да, я подумаю об этом."
- ELI:,Илай!
Ben.,Бен.
"Authentication follows -- Juliet, Alpha, Golf, Foxtrot.","Авторизация Джульетта, Альфа, Гольф, Фокстрот."
Seven years ago when it happened.,Семь лет назад сразу после свадьбы.
Dead.,Убитым.
You won't.,- Не выиграешь.
How many weeks in are you?,На какой ты неделе?
"Oh, it should only last a minute.","О, это должно продлиться всего минуту."
I can handle that.,С этим я справлюсь.
You can go in.,Можете войти.
Its very credibility is on the line.,На карту поставлено доверие к таким встречам.
"- Yes, really.","- Серьёзно? - Да, серьёзно."
"All right, Mr. Tojamura.","Всё в порядке, мистер Тоджамура."
Do I feel bad for you.,А ты удачлив...
"A bit murder-y, sure, but even so!","Немного убитый, конечно, но даже так!"
"""Like""?","""Пока""?"
Trusted you?,Доверял тебе?
Zorro fought for the people.,Зoppo дpaлcя зa людeй.
- I know.,- Я знаю.
I-I don't really know.,Я правда не знаю.
I've got to go.,Mнe пopa идти.
Why me?,Почему именно я?
We won.,Мы победили.
That's a good question.,Это хороший вопрос.
Together!,Вместе!
Emotionally upset?,Эмоционально расстроен?
"And assembled (his council) and proclaimed,","И собрал, и возгласил,"
Come on. We're here.,"Да ладно вам, вы здесь."
"It is currently Mon May 16, 2016 2:37 pm","It is currently Fri May 20, 2016 4:11 pm"
The guy hasn't eaten in a couple of days.,Парень не ел пару дней
We'll be fine.,Всё будет хорошо.
No sound.,Ни звука.
Gaby!,Габби!
Get down!,Ложись!
Do you like fish?,Вы любите рыбу?
So... she's great.,Она хорошая.
Do you remember their names?,Ты помнишь их имена?
What makes you say that?,С чего ты взяла?
"Good morning, gentlemen!",√оспода!
Why not?,— Почему нет?
You're my favorite.,- Ты моя самая люби... - Ты мой самый любимый.
You know her?,Знаешь ее?
Come on.,Пошли.
1975.,высш.
Steve Geraci.,Стив Гераси.
Take me.,Забери меня!
She lied to us.,Она врала нам.
- I thought she was happy. Sorry.,- Она казалась счастливой...
Isabelle!,Изабель!
I'd love it if you both could come.,"Мне бы понравилось, если бы вы оба туда пришли."
"- Yes, it is.","- Да, так и есть."
What's the big deal?,Да не переживай ты так!
"The reminder will be received by him who fears (Allah),","Вспомнит тот, кто боязлив."
- I know.,- Я знаю.
You were so excited about your hat.,Ты был в таком восторге от своей шляпы.
- I just said I would.,- Я же сказал.
"- Hey, you.",- Привет.
When?,Когда?
Shut up.,Заткнись!
"Whoa, man.","Ну ничего себе, чел."
"Joined: 03 Nov 2004, 18:23","Joined: 03 Nov 2004, 18:23"
- Good enough?,– Нормалек?
"Yeah, we're headed to the boathouse.","Да, мы двигаемся к лодочной станции."
Do what?,Что сделать?
Just for the experience.,...для демонстрации.
- Herb. - We haven't got much time.,У нас немного времени.
Is that stupid?,Это глупо?
We got him.,Мы его взяли.
- No shit.,- Беспезды.
I like taking care of people.,Мне нравится заботиться о людях.
General...,Генерал...
Are you ready?,Ты готов?
Wake up!,Очнись!
"So, where's the chauffeur?","Ну, а шофер где?"
"Yes, sir.","Да, сэр."
Not a chance.,Я не сдаюсь.
Click on the Wi-Fi.,Кликните на Wi-Fi.
They still tight?,ќни поддерживают св€зь?
20 July-7 August 2009,20 июля — 7 августа 2009 года
She didn't do anything.,Она ничего не натворила.
And where did they go?,И почему не ответил на наши сигналы?
"Look, you're right.","Слушайте, вы правы."
Yeah!,Да!
Call the m.E. Tell him I want details.,"Позвоните патологоанатому. Скажите, что мне нужны результаты."
I want some answers.,А мне нужны ответы.
I assume this is the rogue detective?,"Полагаю, это непослушный детектив?"
Nope.,Не-а.
This is when he gives you the shakedown!,Там он тебе и скажет о чем шантаж!
Moira.,Мойра
- Goodbye.,- До свидания.
Do something!,- Надо делать что-нибудь!
We will be back.,Что у тебя в сумке?
I like it here.,А мне нравится тут.
"Apparently, babies and weddings don't mix.","Видимо, дети и свадьбы не сочетаются."
This is God's will.,Это воля Божья.
"As the pyramids testify to the Egyptians,..","Так же, как пирамиды увековечили египтян,.."
Not necessarily.,Не обязательно.
"Happy holiday, po.","Счастливого праздника, По."
tendonitis,тендинит
I just don't understand.,Я не понимаю.
Dollars!,Ох!
- Really?,- Правда?
Could you kill a classmate?,Одноклассника... своей рукой?
Upset?,Расстроен?
"Domini, dominii, domina, dominis, dominorum, domines. Very good.",Молодец!
Come on.,Давай.
Sure are some nice shoes.,Отличные ботинки.
"Ugh, I don't believe this!",Поверить не могу!
Hola.,— Ура!
"Oliver,","Оливер,"
I'm sorry.,Прости
(sighs),.
"It is contained in scrolls highly honoured,","Оно записано в свитках почитаемых,"
She's stable.,Она стабильна.
Magnus.,Магнус.
You got a problem with that?,У тебя с этим какие-то проблемы?
We don't know that.,Я не уверена.
],]
Lucas?,Лукас?
"Thank you, Lloyd.","Спасибо, Ллойд."
"No, it's too dangerous.","Нет, это слишком опасно."
Laurel.,Лорел.
You're not.,Ты не менеджер.
He said...,Сказал...
"The General Assembly,","Генеральная Ассамблея,"
Moment's gone.,Момент испорчен.
Hello.,Здравствуйте!
"Surprisingly toasty day out here, isn't it, folks?","Скажите, сегодня на удивление жарко?"
Ibid.,Ibid.
We told you to stay here.,- Тебе же было велено оставаться дома.
"I was in that chair too, Ryan.","Я тоже была в этом кресле, Райан."
- What time is it?,- Который час?
Hmm.,Хмм.
What is it?,Какой?
- My wife on?,- Моя жена?
"- All right, here's the plan.","Так, план таков:"
But we drank the water.,Но мы пили воду.
Helena.,Хелена.
No.,Нет
Pavel!,Павел!
United Nations public information policies and activities,Политика и деятельность Организации Объединенных Наций в области общественной информации
Except...,Кроме...
You're all in one boat!,Коллективная оборона защищает каждого.
"Have you not seen ""Baby Mama""?","Вы не видели ""Нашу Мамочку""?"
- Score.,Это лучший день в моей жизни.
"Well, that's what we hit him with.",Вот здесь мы его и ударим.
I have no idea.,Понятия не имею.
She is responsible for the death of one of us.,Она ответственна за смерть одного из нас.
NICOLE: Good idea.,Хорошая идея
What happened?,Что произошло?
"It is currently Wed May 18, 2016 4:12 pm","It is currently Sat May 14, 2016 1:39 pm"
- I am so sorry.,- Мне очень жаль.
Austria?,В Австрии?
"Oh, you're on disability.",Ты инвалид.
Strategy,Стратегия
Where are we going?,Куда мы идём?
{\cHFFFFFF}What the bloody hell you doing?,- У меня дети!
- Ooh!,Ой !
So don't do it.,Ну так не делай этого.
Journalist.,Журналистикой.
Notes,Примечание
"Well, then...",Дaвaй.
I'd make an amazing prostitute.,Из меня получилась бы отличная проститутка.
"What the fuck, man?","- Да, какого хрена!"
Fifty-seventh session,Пятьдесят седьмая сессия
I need it.,Мне она нужна.
Walter?,Уолтеру?
Skull Island.,Остров черепа.
Vehicles,обеспечение наличия огнетушителя на борту грузовых автомобилей
"Whaddaya say, home-skillet?","Что скажешь, землячка?"
"See, this is what I look like.","Смотри, вот так я выгляжу."
Shall we?,Начнём?
Message abdussamed ( 2 January 2007 11:18) : saol seko,Сообщение abdussamed ( 2 январь 2007 11:18) : saol seko
"Posted: 03 Jan 2007, 19:12","Posted: 07 May 2007, 20:40"
"You're interrupting me, and you're confusing them.",Ты перебиваешь меня и сбиваешь их с толку.
Codes.,Шифр?
That was a cheesy one.,Низкосортная шутка.
- Out with you!,- Вон отсюда!
"- Drug dealers, money launderers...","- Наркодельцов, отмывателей денег."
"Well, that's about all",Это всё.
And he's gone.,И он свалил.
There can't be any doubt.,Определенно.
"Uh, the Mayor Hayes no comment at this time, dash.","Мэр Хейс не будет на этот раз ничего комментировать, Дэш."
Maybe we will.,Может и повезёт.
"Like, that's not gonna be a disaster.","И, конечно же, катастрофы не случится."
He's even more annoying in miniature.,В миниатюре он ещё противнее.
Are you okay? Yeah.,- Ты в порядке?
"You're not thinking of cooking it though, are you?","Ты же не думаешь его приготовить, да?"
What are you doing here?,Что ты здесь делаешь?
Over there.,Выйти.
The boys were using my sash to play Tarzan.,Парни играли в Тарзана моим поясом.
Come on.,Идем.
She's now yours to answer for.,Теперь ты за нее в ответе.
Hey!,Эй!
Now let's dive into the good stuff.,А теперь переходим к самому главному
language: en-us,language:
Contents,Содержание
There's very little pot left.,Тут мало что осталось от кастрюли.
Or I put a bullet in your head.,Или я пущу пулю в твою голову.
Article 6,Статья 6
"She asks, “Mom, what is going on?”","""Мам, что происходит?"", - спрашивает она."
1 July 2005,13 сентября 2005
Photo by @a_demchenko on Twitter.,Фотография @a_demchenko с Twitter.
"S- seventy-two installment payments, please.",Возьмите 720 пожалуйста.
Are you asking me on a date?,Ты приглашаешь меня на свидание?
They hit him.,Слишком поздно!
But how?,Но как?
10/07/2012,11/07/12
Retrograde Motion,Обратное движение
"Two weeks, huh?",На две недели?
I guarantee that.,Я вам это гарантирую.
http://www.livejournal.com/update.bml?event=http://vashzarabotok.com/?p=216subject=Постиранная флешка или что может быть лучше блокнота? img,http://ilogos-ua.com/ img http://wmadv.com/ img http://creara-media.ru/ img
We've kept our distance.,Держались на расстоянии.
Working...,Поиск работы...
14:11,14:11
That's kind of nice.,По-своему хорошо.
I may have a lead on that.,"Кажется, у меня есть зацепка."
You wanna see a magic trick?,Хочешь волшебный фокус?
Otherwise we all die down here.,Иначе мы все умрем тут.
You knew this man.,Вы знали этого мужчину.
Could Elaine have gone off on her own accord?,А Элейн не могла уйти по собственному усмотрению?
"- Oh, I don't know.","- Ну, я не знаю."
"I don't understand, the signatures look exactly alike to me.","Я не понимаю. Мне кажется, что подписи одинаковые."
"Alcohol is legal, but pot isn't?","Алкоголь разрешен, но травка нет?"
Haley just needs our permission.,Хэйли просто нуждается в нашем разрешении.
Îòâåòîâ: 6,2012-12-27 18:45:36
Do you know where you are?,Ты знаешь где ты находишься?
I thought you were wonderful.,"- Я думал, что ты прекрасна."
Humanitarian aspects and military requirements need hence to be balanced.,И поэтому нужно балансировать гуманитарные аспекты и военные потребности.
"No, no, I'm in as a partner.","Нет, нет, я в деле, как партнёр."
Number of items: 39,Число пунктов: 0
Commission for Social Development (E/2008/9/Add.2),Комиссия социального развития (E/2008/9/Add.2)
Parole violation back in '82.,Нарушение условий досрочного освобождения. Ещё в 1982.
"Where would it end, then?","В этом случае, когда же она кончится?"
"Hey, hey, hey, it's okay. It's all right.","Эй, эй, все в порядке."
I just...,Я просто...
"Clara, of course, was impressed.","Клара, конечно же, была впечатлена."
Care for your appliance with our cleaning and care products,Чистка и уход
East Asia Sawmill Corp. (6 October 1993),""" (6 октября 1993 года)"
You think she was hacked at before she died?,"Вы думаете, что ее порезали, прежде чем она умерла?"
- Okay. I'm comin'.,"- Хорошо, я иду."
Looks are deceiving.,Внешность обманчива.
We can't go back to camp.,Мы не можем вернуться в лагерь.
"Yeah, me, too.","Да, я тоже."
We are all the same.,Все мы одинаковы.
Really? Excuse me,Извините меня.
I'm sorry.,Прости.
"If something happened, he would have come to me.","Если бы что-то случилось, он бы пришел ко мне."
He's exercising.,Делает гимнастику.
Is he really the Chairman's son? Who knows? Who cares?,Этот парень совсем чокнулся?
"Three bedrooms, two bathrooms (one ensuite) .","Три спальни, две ванные комнаты (одна ванная) ."
Go now.,Ступайте.
I'm the one who made Zebra Time!,Это я создал Зебра-Тайм!
"Thank you, Dwayne Foster.","Спасибо, Дуэйн Фостер."
Description and status of implementation of the recommendations,Описание и ход осуществления рекомендаций
How will you comprehend what the Steep ascent is? --,"Откуда ты мог знать, что такое крутая тропа?"
Take cover.,С дороги.
"What's up, my man? Hi.",- Привет.
"- No, my friend Sandy.","-Нет, моя подруга Сэнди."
- How does that help us?,-И в чём тут для нас польза?
I'm taking your mask!,Я забираю твою маску!
Under supervision.,Под руководством.
"04-07-2013, 08:41 PM #1","12-23-2012, 03:25 PM #1"
Survey on web page (iFrame),Опрос на веб-странице (IFrame)
Woof!,Гав!
I'll happy to take those cash off you.,Я с удовольствием заберу у тебя те деньги.
But you're my friend.,Но ты мой друг.
Adam doesn't punch people.,Адам не бьет людей.
- Excuse me.,- Простите.
http://homewinelabels.com/,http://omsk.intcredit.ru/
Mr. Nygma?,Мисс Крингл.
* Including the Chief Military Observer.,* Включая Главного военного наблюдателя.
Educational background:,Образование:
"She's dead, Jane.","Она мертва, Джейн."
Or he was drugged.,Или он был накачан наркотиками.
"But making music is my dream, Abe.","Но писать музыку - это моя мечта, Эйб."
I wonder if it's worth it.,Стоит ли оно того?
But the chorus.,Только без песнопений.
"- Off the road, how?","От дороги, но как?"
OTHER MATTERS (agenda item 12),ПРОЧИЕ ВОПРОСЫ (пункт 12 повестки дня)
Thank you for coming.,Благодарю вас за ваше участие.
And this employee?,А этот служащий...
You're afraid.,Ты напугана.
Wait for the wife to come around.,"Подождите, пока жена придёт в себя"
Click on the microphone button and say the word.,Нажми на кнопку на микрофоне и скажи слово.
Three!,Три!
I lay awake at night thinking about it.,"Я не сплю по ночам, все время об этом думаю."
Jena was the one real thing in my life.,Джена была самым главным человеком в моей жизни.
GERA.EKAT@GMAIL.COM http://sharm-kbt.ucoz.com/ gera,(http://jpe.ru/gif/smk/sm73.gif)
Like this.,Вот такие.
I want to be with you!,Я хочу остаться с тобой!
The page has this link: http://www.openimagebank.com/en/yellow-melon-free-image-photo.php?m20nmcont=521,Ссылка на страницу: http://www.openimagebank.com/ru/fruit-salad-besplatnyj-obraz-foto_0.php?m20nmcont=518
That's not really appropriate.,Не совсем уместно.
Ageing.,Старение.
So there's that.,Вот значит что.
Your Ellen was acting all loony again.,"Твоя Эллен опять вела себя, как чокнутая."
"You ain't got no right, see?","""Ты не имеешь на это права"", да?"
"Oh, I get it.","Аа, я понял."
Who do you want to live with?,С кем ты хочешь жить?
BOY: Close the door. BRENER:,"Ладно, все заткнитесь!"
I've lost my husband.,Мой муж пропал.
"Oh, don't worry about it.","Ох, не беспокойся об этом."
"I'm asking you, why you didn't call him back?","Я спрашиваю, почему вы не отозвали Бомона."
"For dad, he and Katie hadn't reached that point yet.",У папы с Кейти этот момент ещё не наступил.
Mednafen,Mednafen
"Father, forgive me.","Господи, прости меня."
"The Smiths, the Dents and Nonnatus.","Семья Смит, семья Дент и Ноннатус."
I know who you are Storyteller.,"Я знаю, кто ты, Сказочница."
"You know what a ""shot to nothing"" is?","Ты знаешь, что такое ""удар в никуда""?"
"- Okay, good.","- Ладно, хорошо."
Ooh,Ooх
Which is probably why she couldn't handle it today.,"Поэтому она, наверное, не смогла справиться с этим сегодня."
You got 12 years in.,У тебя стаж 12 лет.
Alex brought rebecca in.,Алекс привел Ребекку.
"I mean, nice to see you.","В смысле, рада вас видеть."
I'll take my chances with that bat thing. Maybe not.,У меня практически нулевые шансы!
The time now is 03:29 AM .,The time now is 06:52 AM .
Ira the voice-box doesn't talk.,"Айра-""Автоответчик"" не разговаривает."
Just keep killing?,Продолжать убивать?
So I couldn't... make it.,— Все нормально. Поэтому я не смог... прийти.
Play other great free shtoss.,Play other great free shtoss .
This calls for a drink!,За это надо выпить!
RexPex писал(а):,RexPex писал(а):
You want a ride?,Тебя подвезти?
Laundry and ironing service (*) EQUIPMENT,Услуги прачечной (*)
(b) Breach of conditions for admission,b) Нарушение условий допуска
- and Kevin Shaw. - Pleasure.,-Очень приятно.
USB communication with PC on data transfer rate 12Mhz/s.,USB communication with PC on data transfer rate 12Mhz/s.
- He watched a scary movie.,- Он посмотрел страшное кино.
I'll just drop it in my purse.,Я просто кину его в сумочку.
A citizen of Georgia can freely enter the country”.,"Гражданин Грузии вправе свободно въезжать в Грузию""."
- dwight schrute.,Дуайт Шрут.
- It's a pretty great inn.,- Гостиница великолепная.
You want to roll it?,Катнёшь?
I'll fill you in later.,Позже объясню.
But it doesn't necessarily me...,Но это не обязательно зна...
"I-I'm from the building, remember?","Я-я из того дома, ну, помнишь?"
"Posted: 17 Apr 2010, 18:26","Posted: 09 Mar 2011, 00:19"
There you go.,Вот такие дела.
- That's right.,- Точно.
- What is happening to us?,Что с нами происходит?
"I just can't do the cake stuff again, babe.",Ещё одного обсуждения торта я просто не переживу.
Step 2: Blur your JPEG photos,Step 2: Edit the location of your DNG photos
CD-ROM (1 pc.),CD-диск (1 шт.)
I have a headache.,У меня голова болит.
"[door closes] Lethal injection, or is it gas chamber still?","Смертельная инъекция или газовая камера, как раньше?"
So?,ЧАРЛИ Ну?
"Flooding in Krymsk, Krasnodar region, Russia.","Наводнение в Крымске, Краснодарский край, Россия."
Director,Госпожа!
Andthecrucifixwillbe the gift for our community.,Ираспятиебудетотличнымподаркомнашемусообществу.
Corinne,Corinne
"They mean, ""I am a person not worth talking to.""","это значит, что ""со мной говорить не стоит""."
Strategy,Стратегия
Hialeah Gardens +26°C,Пербаунган +25°C
"#5 諾努衫 10, wipe (00:04:12)","#2 잿빛너울 10, wipe (00:05:43)"
"-Kitai, self-eval.",- Китай! Осмотри себя.
"No, no, it's Entek I don't trust.",- Я не верю Энтеку.
I don't play much with them.,я пoчти нe игpaю c ними.
Hermosillo 66260 ***** Phone,Эрмосильо 66260 ***** Телефон
Land space : 421 m²,Площадь участка : 953 m²
Like pushing an off button.,Словно его выключили.
"Come on, let's go!","Давайте, пошли!"
Recommendation 36/40,Рекомендация 36/40
Sign to support:,Подписать в поддержку:
Don't act like you're not impressed.,"Не делайте вид, что вы не впечатлены."
"It's Anatomy, not feelings.",Это анатомия.
Let me at him.,Дайте мне до него добраться.
I'm sorry!,Прости!
Change the settings to match those in the image below.,Измененные значения параметров показаны на рисунке ниже.
Feeding time.,Пора кормить.
Come in.,Заходи.
- The preacher...,Пастор...
Papa!,Папа!
"Oh, foul weather.","Ох, отвратительная погода."
"It's dark, but I like it.","Он мрачный, но мне нравится."
Hurry and split the money,"Быстрей, поделите деньги."
And more cosplayers.,И еще косплееры.
"I don't want anything serious, stupid.","Я не хочу ничего серьезного, глупый."
(c) Advocate means to use and increase this potential;,c) выступать в защиту средств использования и укрепления этого потенциала;
au(1) victoria(15) new zealand(18) aussie(14) australia(56),australia(56) au(1) victoria(15) new zealand(18) aussie(14)
I saw the sign of Satan on him.,Я видела на нём знак Сатаны.
"Resolution 2200 A (XXI), annex.","Резолюция 2200 A (XXI), приложение."
But you do it.,Ќо вы помогаете.
Where is Gab?,Где Гэб?
You break up with one world-class hottie...,Ты расстался с одной суперкрасивой девочкой...
This is the finest public university in the Northeast.,Это лучший университет на северо-востоке США.
He'll love it.,Спасибо. Он будет очень доволен.
It's so beautiful.,Так красиво!
Tell her she has to live.,"Скажи ей, что она должна жить."
She should see what it meant to die.,"Она должна видеть, что значит умереть."
She met him on the Matterhorn.,Она встретила его на Мотерхорне.
Here. Here.,возьми.
I don't think she will be.,"Не думаю, что она вернётся."
Who were in the crates?,Кто находился в ящиках?
"Marshall, this house wants you so bad.","Маршалл, этот дом безумно тебя хочет."
I thought about you a lot.,Я много думала о тебе.
Roger ramjet?,- Роджер Рамджет?
- Drop what you're taking.,"- Оставь то, что ты взяла."
- Did you see Charlie?,- Ты видел Чарли?
- How sick is this?,"- Неплохая, да?"
Connection Rating (W) 600 W,Мощность подключения (Вт) 600 Вт
": 01-Ñåí, 11:07 Òåìà:","Зарегистрирован: 02-11, 14:47"
27.03 09:45,27.03 09:45
- He wasn't at the meeting.,- Нет. Он не пришел.
You'll have time.,У тебя появится время.
Sorry.,Извини.
You guys are too smart.,"Вы, ребята, слишком умны."
W... will I ever see him again?,Я его ещё увижу?
The story's changed.,История поменялась.
"Hey, Dad.","Здоров, па."
And...,И...
- Can I get you a drink?,- Предложить тебе выпить?
"In addition, at these competitions weight loss is strictly forbidden.","Помимо этого, на этих соревнованиях строго запрещена сгонка веса."
Get off.,Отвали.
"You know that's what I want, princess.","Ты же знаешь, чего я хочу, принцесса."
What's happening?,Что происходит?
Classes in small groups (7-10 students).,Занятия в малокомплектных группах по 7-10 слушателей.
No idea.,- Без понятия.
You murdered him in cold blood.,Ты его хладнокровно убила.
- So it would seem.,- Похоже на то.
You know?,"А, как?"
1 x 12 x...,1 x 12 x...
We just need to get a message through to him.,Надо просто достучаться до них...
Just us.,Просто мы.
Be indicted!,Арестуют!
"Good night, Gerrit.","Доброй ночи, Гэрет."
"Yeah, I'm here.","Да, я здесь..."
"We can save her, Jack.","Мы можем спасти ее, Джек."
BSPK,BSPK
29:57,29:57
- Not at all.,- Вовсе нет.
What sheep?,- Какие овцы?
I said that I miss you so much.,"Я сказала, что очень по тебе скучаю."
Two hundred twenty-three dollars and seventy-five cents.,223 доллара и 75 центов.
And they won't let me on the job?,И он не позволяет мне работать?
Mr. S. Mokrousov (Russian Federation),председателя: г-н С.
"Так что, Deutschemann, ты был прав на 50%.","Так что, Deutschemann, ты был прав на 50%."
My guest tonight hasn't recorded any of those.,Мой сегодняшний гость не записал ни одну из них.
"Look, Mum.","Смотри, мам."
"Excusez-moi, monsieur.","Простите меня, сеньёр."
"23, draft resolution I).","пункт 23, проект резолюции I)."
Accession: Angola (26 October 2005)1,Присоединение: Ангола (26 октября 2005 года)1
He screwed your daughter?,Он изнасиловал твою дочь?
"Yeah, and where has she been since then?",И где она была с тех пор?
Only way there is to go through that.,Единственный способ туда попасть - пройти через это.
I think everybody's lying.,"А я считаю, что все врут."
Canoga Park (California) 747900 **** Phone,Канога Парк (Калифорния) 747900 **** Телефон
"- Rwandan, so what?","- Руандиец, и что?"
Then whom can we trust?,И кому же мы можем доверять?
- Is that you?,– Это ты?
♪ like everything I love ♪,"♪ Как все, что я люблю ♪"
So now I'm a sleepy spider in a bubble.,Значит теперь я сонная паучиха в пузыре?
